LGANAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
NORTH SYDNEY,229816,230170,230208,230438,231741,233600,237084,239842,244500,248250,251696,254115,257020,259723,262593,265468,267483,268390,268935,268164,264567,264830,266471,267295,267907,268826,269661,270323,271048,271489,272001,272575,272923,273268,273617,273961,274308,274651,275003,275406,275846
NORTHERN BEACHES,5257,5269,5243,5209,5193,5179,5166,5161,5192,5207,5209,5235,5300,5318,5329,5349,5409,5455,5489,5540,5567,5561,5576,5593,5608,5625,5641,5656,5670,5684,5697,5710,5722,5734,5746,5757,5768,5778,5788,5798,5808
OBERON,36701,36728,36721,36501,36410,36374,36801,37401,37904,38660,39419,39769,40167,40619,40837,41210,41800,42522,43115,43383,43750,43762,44065,44395,44703,45035,45344,45642,45928,46202,46466,46721,46966,47203,47432,47653,47867,48074,48274,48468,48657
ORANGE,14927,14901,14807,14690,14627,14600,14643,14755,14835,14984,15083,15048,15022,14991,14954,14924,14893,14836,14774,14646,14451,14453,14497,14546,14626,14711,14791,14869,14942,15013,15082,15148,15211,15272,15331,15389,15444,15498,15549,15600,15648
PARKES,170101,171245,172927,175370,178021,180919,185175,189684,195136,199575,203205,208182,214537,221107,227649,234444,243158,250835,257472,260413,258527,262981,268423,273106,278461,284153,290500,296361,303552,309512,315591,320547,325592,330560,335624,341024,346612,352062,357634,363948,369516
PENRITH,176277,176829,176610,175589,175799,176067,177280,179851,181901,182948,184589,187281,190527,193765,197678,201597,205517,209578,213534,216922,219239,220460,224058,226280,228943,231023,232615,234141,235771,237265,238991,241381,243606,246479,249815,253335,257020,260653,264273,267934,271518
PORT MACQUARIE-HASTINGS,64960,66573,67960,68987,69659,69947,71097,72528,73317,74460,75232,76271,77043,78048,78997,80073,81386,82780,84167,85499,86638,86664,87276,87947,88572,89247,89876,90483,91064,91622,92160,92677,93175,93657,94123,94573,95008,95429,95837,96232,96616
PORT STEPHENS,58509,59506,60410,61256,61918,62132,63425,64316,65521,66447,67214,68012,68750,69537,70257,71115,71829,72609,73509,74450,75328,75622,76359,77099,77796,78532,79244,79950,80648,81339,82025,82708,83387,84063,84736,85407,86075,86741,87403,88063,88721
QUEANBEYAN-PALERANG REGIONAL,44289,45669,47142,47783,48886,50070,51002,52141,53190,54250,54844,55408,55920,56537,57130,57790,59000,60212,61423,62506,63404,64143,65393,66550,67562,68591,69571,70485,71379,72253,73112,73957,74767,75479,76146,76769,77344,77874,78353,78784,79208
RANDWICK,124456,124390,124252,124088,124596,125346,128229,131136,133975,136006,137792,139836,142459,144814,146908,148922,149099,147552,145287,142499,135219,135354,145289,147203,147920,148558,148941,149397,149746,149993,150336,150679,151028,151414,151883,152385,152894,153340,153702,154265,154745
